What is Big Data?; Big Data refers to extremely large and complex datasets that traditional data-processing software cannot effectively manage or analyze.
What are the “3 Vs” of Big Data?; The three primary characteristics of Big Data are Volume (massive data quantity), Velocity (rapid data generation speed), and Variety (wide range of data types and sources).
Why has Big Data become important in healthcare?; Healthcare organizations collect massive, diverse datasets (EHRs, imaging, genomics, etc.), and Big Data analytics can reveal insights to improve care and efficiency that traditional methods would likely miss.
What are some sources of Big Data in healthcare?; Sources include electronic health records (EHRs), medical imaging (e.g. MRI scans), genomic sequencing data, insurance claims, and patient-generated data from wearable devices.
What challenges do healthcare datasets pose for Big Data analytics?; Healthcare data are heterogeneous (mix of structured and unstructured formats), extremely large in volume, and sensitive (privacy concerns), making it challenging to integrate and analyze them with conventional tools.
Why are new tools needed to analyze Big Data?; The scale and complexity of Big Data demand distributed storage and processing frameworks (like Hadoop and Spark) because traditional single-server databases cannot handle such volume, velocity, and variety efficiently.
What big data technologies are taught in this course?; The course covers big data systems like Hadoop (with tools such as Hive, Pig, HBase), Apache Spark, and even graph databases, focusing on how to use these for large-scale data processing.
Which healthcare analytics applications are emphasized in this course?; It emphasizes applications such as predictive modeling (e.g. risk prediction), computational phenotyping (discovering patient clusters from data), and patient similarity analysis, all in the context of healthcare.
What machine learning techniques are highlighted for Big Data in this course?; The course highlights scalable machine learning techniques, including online learning (models that update with streaming data) and fast similarity search, which are important for handling large, continuously growing datasets.
What background knowledge is recommended for the BD4H course?; A background in machine learning (understanding classification, clustering), proficient programming skills in Python, Scala, or Java, and familiarity with data management (SQL and NoSQL databases) are recommended for success.
What is the focus of the Big Data for Health course?; The focus is on applying big data algorithms and systems to healthcare data – teaching students to handle large-scale medical datasets and derive insights for improving health outcomes and reducing inefficiencies.
What is predictive modeling?; Predictive modeling is a technique that uses historical data to train machine learning models that can predict future or unknown outcomes.
How is predictive modeling used in healthcare?; In healthcare, predictive modeling is used to forecast patient outcomes (such as risk of hospital readmission, disease onset, or treatment response) by learning patterns from past patient data.
What type of learning does predictive modeling typically involve?; It typically involves supervised learning, where models are trained on labeled datasets (with known outcomes) to predict labels or values for new, unseen data (classification or regression tasks).
What are key steps in the predictive modeling process?; Key steps include data preprocessing and feature engineering, selecting and training an appropriate model on a training dataset, and then evaluating the model on validation/test data to ensure it generalizes well.
Why is overfitting a concern in predictive modeling?; Overfitting is when a model learns the training data (including noise) too specifically and fails to generalize to new data. It’s a concern because an overfitted model performs poorly on unseen cases, so techniques like cross-validation and regularization are used to prevent it.
How do we evaluate the performance of a predictive model?; We evaluate a model using appropriate metrics (such as accuracy for overall correctness, or precision/recall for class-specific performance) and by testing it on a separate dataset to see how well it predicts outcomes it hasn’t seen during training.
What is the MapReduce programming model?; MapReduce is a programming model for distributed computing on large data sets, consisting of a Map step that processes and converts input data into intermediate key–value pairs, and a Reduce step that aggregates those intermediate results by key to produce the final output.
How does MapReduce scale to big datasets?; It achieves scalability by dividing the workload across a cluster of machines: the Map phase runs in parallel on many nodes (each handling a portion of the data), and the Reduce phase then aggregates the intermediate results. This parallelism and distribution allow processing of massive datasets efficiently.
What is Hadoop?; Hadoop is an open-source framework for big data processing that implements the MapReduce paradigm. It includes the Hadoop Distributed File System (HDFS) for storing data across a cluster, providing fault tolerance and high-throughput data access.
What does HDFS do in the Hadoop ecosystem?; HDFS (Hadoop Distributed File System) breaks large files into blocks and distributes them across multiple nodes in a cluster. It stores multiple copies of each block for reliability and allows parallel access to data, which is crucial for the high-volume processing in MapReduce jobs.
What is an example of a problem suitable for MapReduce?; A classic example is counting word frequencies in a very large document collection: the Map function emits (word, 1) for each word occurrence in each document, and the Reduce function sums up all counts per word. This task can be split across many machines, with each handling a subset of documents, and then aggregated.
What is a confusion matrix?; A confusion matrix is a table that summarizes a classifier’s performance by showing counts of True Positives (TP), True Negatives (TN), False Positives (FP), and False Negatives (FN). Each of these entries helps in calculating various evaluation metrics.
How is accuracy calculated for a classifier?; Accuracy = (TP + TN) / (TP + TN + FP + FN). It represents the proportion of all instances that the classifier correctly classified (both positives and negatives combined).
What does precision measure?; Precision = TP / (TP + FP). It measures how reliable positive predictions are – out of all instances predicted as positive by the model, what fraction were actually positive.
What does recall (sensitivity) measure?; Recall (sensitivity) = TP / (TP + FN). It measures the model’s ability to catch positive instances – out of all actual positive cases, how many did the model correctly identify as positive.
What is specificity in classification?; Specificity = TN / (TN + FP). It measures the ability to identify negatives correctly – out of all actual negative cases, what proportion did the model correctly classify as negative.
What is the F1-score?; The F1-score is the harmonic mean of precision and recall. It provides a single metric that balances both precision and recall (it is high only when both are high), which is useful for evaluating performance especially on imbalanced datasets.
What does ROC AUC represent?; ROC AUC (Area Under the ROC Curve) represents the overall ability of the model to discriminate between classes across all classification thresholds. Numerically, it’s the probability that the classifier will rank a randomly chosen positive instance higher than a randomly chosen negative one (AUC = 1.0 indicates a perfect classifier).
What is an ensemble method in machine learning?; An ensemble method combines the predictions of multiple base models (often called “weak learners”) to produce a more powerful model with better performance than any single one.
What is bagging (bootstrap aggregation)?; Bagging trains multiple models on different bootstrapped subsets of the training data (samples drawn with replacement) and then averages their predictions (or takes a majority vote). This approach reduces variance and helps prevent overfitting. Random Forest is a popular ensemble that uses bagging with decision trees.
What is boosting?; Boosting builds an ensemble by training models sequentially, each new model focusing on correcting the errors of the previous ones. The final prediction is a weighted combination of all models. This approach can reduce bias and produce a strong predictor. Examples of boosting algorithms include AdaBoost and Gradient Boosting (e.g. XGBoost).
Why do ensemble methods often perform better than single models?; Ensembles perform better because combining multiple models tends to cancel out individual errors. By aggregating diverse perspectives (different models may capture different patterns), the ensemble reduces the risk of an unlucky guess or overfitting by any one model, leading to higher overall robustness and accuracy.
What is computational phenotyping?; Computational phenotyping is the process of identifying meaningful patient subgroups or patterns (“phenotypes”) from large datasets using algorithms. Often this is done with unsupervised learning methods like clustering or matrix factorization to group patients with similar characteristics.
Why is phenotyping useful in healthcare?; Phenotyping can uncover hidden structure in clinical data, such as subtypes of a disease or distinct patient clusters. Identifying these phenotypes helps clinicians and researchers understand disease variations, tailor treatments to specific patient groups, and improve decision support by recognizing patterns that aren’t obvious on an individual level.
How can clustering be used for phenotyping?; Clustering algorithms can group patients who have similar clinical features (for example, similar lab results, symptoms, and diagnoses). Each cluster may represent a distinct phenotype — for instance, a subgroup of patients who share a common pattern of comorbidities and outcomes.
What is an example of a phenotyping result?; For example, using hospital EHR data, algorithms might reveal distinct phenotypes of diabetes patients: one phenotype could be younger patients with obesity-related diabetes, while another could be older patients whose diabetes is linked with cardiovascular complications. These groupings provide insight into different manifestations of the disease.
